name,category,region,address,lat,lon,phone,email,website,website_live,facebook,instagram,rating,review_count,completeness_score,source,scraped_at
إلي حمصي,hairdresser,Mount Lebanon,,33.8270339,35.5281505,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Smaha,marketplace,Mount Lebanon,,33.8294187,35.5379494,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
rony,hairdresser,Mount Lebanon,,33.8170346,35.5358349,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
sport,sports,Mount Lebanon,,33.8168124,35.5358778,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
abi antoun,marketplace,Mount Lebanon,,33.8027889,35.5427894,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
بدّور,electronics,Mount Lebanon,,33.8419121,35.5297876,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
bahri,electrician,Mount Lebanon,,33.8232876,35.5376537,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
forn,bakery,Mount Lebanon,,33.8060116,35.5411176,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
شبكة وسنارة,seafood,Mount Lebanon,الحدث,33.8334796,35.5306669,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مبارك,marketplace,Mount Lebanon,,33.8331238,35.5315929,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
بعقلين,marketplace,Mount Lebanon,,33.8367607,35.5303765,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Creditbank,bank,Beirut,,33.8827108,35.5441047,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
دوكولاند,library,Beirut,,33.8828411,35.5438018,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Forn Kanater,bakery,Mount Lebanon,,33.8605178,35.5603004,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
فادي,hairdresser,Mount Lebanon,الحدث,33.8330456,35.5310789,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
إدي,hairdresser,Mount Lebanon,الحدث,33.8330594,35.5298684,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
داني,hairdresser,Mount Lebanon,,33.8386438,35.533657,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
h market,marketplace,Mount Lebanon,,33.8529676,35.5792947,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
maya,beauty,Mount Lebanon,,33.8538662,35.5781925,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
بنك الإمارات,bank,Beirut,,33.8922059,35.5092718,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
مركز رينيه وهبه,charity,Mount Lebanon,,33.855439,35.5756257,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
bonsai,florist,Mount Lebanon,,33.8542405,35.5693231,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
سفارة الأردن,diplomatic,Mount Lebanon,,33.8304221,35.5416137,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
محطة برمانا,fuel,Mount Lebanon,,33.8829978,35.6337635,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
راتكو,pharmacy,Mount Lebanon,,33.908606,35.7020361,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
sport gear,sports,Mount Lebanon,,33.910577,35.7093492,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
barmaky,pharmacy,Mount Lebanon,,33.8646396,35.6019787,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
pink & blue,clothes,Mount Lebanon,,33.8635691,35.5965776,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
كول كت,hairdresser,Mount Lebanon,,33.8381678,35.5296716,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
رانا سل,telephone,Mount Lebanon,,33.8380991,35.5298541,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
شقير,pharmacy,Mount Lebanon,,33.8213692,35.526744,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
مزار مار شليطا قنات,place_of_worship,North Lebanon,قنات,34.2480175,35.8967934,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Les Vestales,beauty,Mount Lebanon,,33.8548537,35.5491283,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
picolino,toys,Mount Lebanon,,33.8552007,35.5807982,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
forn kaysar,bakery,Mount Lebanon,,33.8522645,35.5737414,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Think Pink,clothes,Mount Lebanon,,33.8553166,35.5748519,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
صايغ,pharmacy,Mount Lebanon,,33.8522925,35.5737935,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Forn Tayib,bakery,Mount Lebanon,,33.8306823,35.5376997,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
denise,beauty,Mount Lebanon,,33.8152179,35.5354641,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
moulin d'or,bakery,Mount Lebanon,,33.8550682,35.5714636,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Eid,clothes,Mount Lebanon,,33.8563338,35.5748596,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Madi,books,Mount Lebanon,,33.8542183,35.5640014,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
أبو غزالي,marketplace,Mount Lebanon,,33.8299342,35.5345254,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Église Saint-Jean,place_of_worship,Mount Lebanon,شارع 102,33.8453397,35.5770056,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Lalipco,fuel,Mount Lebanon,,33.8874209,35.5631633,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
القلب الأقدس,pharmacy,Mount Lebanon,,33.886264,35.5644256,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
صيدلية الفنار,pharmacy,Mount Lebanon,,33.8805179,35.5765739,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
صيدلية رنا فنار,pharmacy,Mount Lebanon,,33.8809904,35.5740415,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Gaby,hairdresser,Mount Lebanon,,33.8555192,35.5745985,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
geo,hairdresser,Mount Lebanon,,33.851955,35.573984,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
kadmous,library,Mount Lebanon,,33.8322422,35.5427486,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
طوني خوري,beauty,Mount Lebanon,,33.830595,35.5423849,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
ألبينا,beauty,Mount Lebanon,,33.8321994,35.5427287,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
pro taxi,taxi,Mount Lebanon,,33.8302715,35.5385541,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
غسان,gift,Mount Lebanon,الحدث,33.8327657,35.529652,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Fady,hairdresser,Mount Lebanon,,33.8151328,35.5357879,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
مانيغرام,telephone,Mount Lebanon,,33.8336878,35.5433802,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
l'Abeille d'Or,bakery,Mount Lebanon,,33.833198,35.5434935,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
karam,marketplace,Mount Lebanon,,33.8446913,35.531837,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
ste therese,pharmacy,Mount Lebanon,,33.8449994,35.5308207,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Forn Pizza,bakery,Mount Lebanon,,33.8444399,35.5317817,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
فرن سام,bakery,Mount Lebanon,,33.8406073,35.531668,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
jenni moda,clothes,Mount Lebanon,,33.8564308,35.5740382,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
نعيم,marketplace,Mount Lebanon,,33.8305901,35.5335259,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
فرن عين السيدة,bakery,Mount Lebanon,,33.79994,35.584723,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
forn saj,bakery,Mount Lebanon,,33.7943626,35.5630421,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
al innab,restaurant,Mount Lebanon,,33.7959845,35.569502,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Librairie Awad,library,Mount Lebanon,,33.8793236,35.5497534,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
ملك الطاووق الدكوانة,fast_food,Mount Lebanon,,33.8796558,35.5496738,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
رينو,car,Mount Lebanon,,33.883983,35.5586059,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Pharmacie Soins,pharmacy,Mount Lebanon,,33.8794425,35.5712816,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Pharmacir Uni Care,pharmacy,Mount Lebanon,,33.8798343,35.5683204,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
محطة الفنار,fuel,Mount Lebanon,,33.8801526,35.576436,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Halim,library,Mount Lebanon,,33.8764603,35.5784556,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Librarie Kerbaj,library,Mount Lebanon,,33.8785405,35.5775759,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Jannat el Sanawbar,restaurant,South Lebanon,,33.5497271,35.5660671,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Karim Sahyoun Falafel,fast_food,Mount Lebanon,,33.9943169,35.6449456,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Princessa,hotel,Mount Lebanon,,33.9948826,35.6424052,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Patisserie L'abeille d'or,bakery,Mount Lebanon,,33.9944181,35.6449682,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
المدرسة الألمانية,school,Mount Lebanon,,33.9940398,35.641909,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Al Akarem,restaurant,Mount Lebanon,,33.9950943,35.6427769,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
ام سمير,fast_food,Mount Lebanon,,33.9964312,35.6427985,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
صيدلية ماريا,pharmacy,Mount Lebanon,,33.9963468,35.6428538,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Chehwan,restaurant,Mount Lebanon,,33.9964556,35.6426617,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Roy's,alcohol,Mount Lebanon,,33.99215,35.6392859,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Reston,hotel,Mount Lebanon,,33.9906951,35.6398823,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Rafaat Hallab,cafe,Mount Lebanon,,33.9910446,35.6391313,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Shesh Besh,bar,Mount Lebanon,,33.99046,35.6388269,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Deli-K,convenience,Mount Lebanon,,33.9901728,35.6388366,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
NBK,bank,Mount Lebanon,,33.9857217,35.6364745,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Café Toni,cafe,Mount Lebanon,,33.9844118,35.6327992,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
الشركة الجديدة لبنك سوريا ولبنان,bank,Mount Lebanon,,33.9877147,35.6392107,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
West House,hotel,Mount Lebanon,,33.9911317,35.6419894,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Queens Land,hotel,Mount Lebanon,,33.9926748,35.641951,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Fransabank,bank,Mount Lebanon,,33.9837535,35.6342058,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
أنكل مل,fast_food,Mount Lebanon,,33.9834406,35.6324362,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
BLCbank,bank,Mount Lebanon,,33.9849216,35.6336167,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Madisson,hotel,Mount Lebanon,حارة صخر,33.9881368,35.6394025,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Cheers Market,convenience,Mount Lebanon,,33.9945508,35.6411062,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
خان بغداد,restaurant,Mount Lebanon,,33.994372,35.6420879,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
بنك لبنان الفدرالي,bank,Mount Lebanon,,33.9866601,35.6373947,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
أ. ﺑﺪورة,pharmacy,Mount Lebanon,,33.9877742,35.6392933,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
صيدلية ج. البستاني,pharmacy,Mount Lebanon,,33.9920706,35.6419851,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
IBL,atm,Mount Lebanon,,33.9864982,35.6374711,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
FNB,bank,Mount Lebanon,,33.9862789,35.6369217,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
فارما-جي,pharmacy,Mount Lebanon,,34.0005149,35.6447319,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
أوسيانوس,restaurant,Mount Lebanon,,34.0004132,35.6440453,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Don Castillo,restaurant,Mount Lebanon,,33.99667,35.6447964,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Blue Beach,hotel,Mount Lebanon,,33.9984325,35.6442372,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Sakr,fuel,Mount Lebanon,,34.0004556,35.644429,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
لي تزيغان,restaurant,Mount Lebanon,,34.0033107,35.6446659,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
فور ستارز,hotel,Mount Lebanon,,34.0053073,35.6449173,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
سنست,hotel,Mount Lebanon,,34.0012458,35.6447467,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
سيلورز,fast_food,Mount Lebanon,,34.0013522,35.6447451,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
هيبكو,fuel,Beirut,,33.8658391,35.5278659,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
لاليبكو,fuel,Beirut,,33.8655317,35.5277186,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
عوده الدوره,bank,Mount Lebanon,,33.8941504,35.5547903,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
TotalEnergies,fuel,Mount Lebanon,الضبية,33.9456465,35.5926448,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
بنك سوريا ولبنان,bank,Mount Lebanon,,33.8942071,35.5549199,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
منار,fuel,Mount Lebanon,,34.0403692,35.6307074,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Reine,pharmacy,Mount Lebanon,,33.9776414,35.6261339,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Falafel Zeinoun,fast_food,Mount Lebanon,,33.9774274,35.6259962,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Hallab,bakery,Mount Lebanon,,33.9776053,35.6267929,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Aoude,pharmacy,Mount Lebanon,,34.0074155,35.6501772,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
بنك الإعتماد اللبناني,bank,Mount Lebanon,,33.9931488,35.6443818,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Aoun,pharmacy,Mount Lebanon,,34.0571947,35.6443456,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Chamsine,bakery,Mount Lebanon,,34.0760145,35.6477388,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Nizar,pharmacy,Mount Lebanon,,34.0880982,35.65252,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Coral,fuel,North Lebanon,مستيتا,34.1095255,35.6535877,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
N.D. Martine,hospital,North Lebanon,جبيل,34.1162307,35.6522568,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
S.T. Antoine,pharmacy,North Lebanon,,34.1277058,35.6492327,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Bank of Beirut,bank,North Lebanon,عمشيت,34.14216,35.6431078,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مدكو,fuel,Mount Lebanon,ضبية‎‎,33.9362475,35.5893156,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
B to B,fast_food,Mount Lebanon,,33.9051088,35.5742702,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Total,fuel,Beirut,بيروت,33.8953616,35.5358323,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
london taxi,taxi,Mount Lebanon,,34.0224374,35.6321843,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
أونايتد,fuel,Mount Lebanon,,33.9814194,35.6269328,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Holiday Suites,hotel,Mount Lebanon,,33.9854268,35.6339476,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
سفارة الغابون,diplomatic,Beirut,,33.8501369,35.5361276,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
بشير,ice_cream,Mount Lebanon,,33.8821466,35.5564855,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Samra,sanitary,Mount Lebanon,,33.8930057,35.5652532,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Achkar,tools,Mount Lebanon,,33.8755624,35.5796147,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Tire Sumitomo,car_repair,Beirut,,33.8790185,35.5433461,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
حنا,car_rental,Beirut,,33.878569,35.5422802,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
تيكو تيكو,fast_food,Mount Lebanon,,33.8776711,35.5473024,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
الجامعة الأمريكية للثقافة والتعليم,university,Mount Lebanon,,33.8827501,35.5550968,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Fadel,car_parts,Mount Lebanon,,33.8895457,35.5662988,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
مار أنطونيوس,pharmacy,Mount Lebanon,,33.8896791,35.5664301,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Café Younès,cafe,Beirut,,33.8984627,35.4842074,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Urbanista,cafe,Beirut,,33.8993361,35.482235,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Cherkawi,car_parts,Beirut,,33.8589208,35.5048396,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Baroud,pharmacy,Mount Lebanon,,33.9155796,35.5885378,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
TotalEnergies,fuel,Mount Lebanon,,33.9140154,35.5866231,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Tire,car_repair,Mount Lebanon,,33.9141228,35.5866811,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
toy box,toys,Mount Lebanon,,33.9145675,35.5879681,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
mansour salameh,car_parts,Mount Lebanon,,33.9138069,35.5863483,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Sanirama,plumber,Mount Lebanon,,33.9131589,35.586091,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
forn el teta,bakery,Mount Lebanon,,33.9114343,35.5889859,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Malapco,fuel,Mount Lebanon,,33.9093896,35.5893969,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
ouba,supermarket,Mount Lebanon,,33.9092843,35.5899792,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
credit libanais,bank,Mount Lebanon,,33.8396386,35.5290497,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
auto radio,electronics,Mount Lebanon,Beit Meri West Road - Gharbi Street,33.863184,35.6029146,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Le Marin,restaurant,North Lebanon,,34.2525933,35.6583226,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Ray's,restaurant,North Lebanon,البترون,34.2534274,35.6573825,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Al-Markaz Batroûn,library,North Lebanon,,34.2544066,35.6588264,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Tires,car_repair,North Lebanon,,34.2544969,35.6585388,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
BLC,bank,North Lebanon,,34.255351,35.6599656,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
École Nationale Supérieure de Musique,music_school,North Lebanon,,34.2556222,35.6575611,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
بيدو,fast_food,Beirut,بيروت,33.8938807,35.5408112,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مانو بسطرمة,fast_food,Beirut,,33.8941702,35.5401433,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
آغا سركيسيان,electronics,Beirut,,33.8959652,35.5401977,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
car tunes,car_parts,Mount Lebanon,,33.8158765,35.5355008,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Prune,restaurant,Beirut,,33.8971998,35.5245768,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Locale,pub,Beirut,,33.8960231,35.5239419,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
روستر دينر,fast_food,Beirut,,33.8921661,35.5223809,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
كافيه كلينيسيان,beverages,South Lebanon,Youssef Sursock,33.895028,35.523374,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Lys Express,restaurant,Beirut,شارع يوسف سرسق,33.892774,35.523377,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
أوسيانس,restaurant,Beirut,شارع يوسف سرسق,33.892501,35.523166,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
لالا تشيكن,restaurant,Beirut,,33.891248,35.521933,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
سوشي سيركل,restaurant,Beirut,,33.89214,35.523032,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
angel taxi,taxi,Mount Lebanon,,33.811633,35.5402121,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
The bohemian,pub,Beirut,,33.896881,35.52579,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Crew hut,fast_food,Beirut,,33.8968608,35.5249784,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Terminal B,pub,Beirut,,33.8970931,35.5255974,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Bodo,pub,Beirut,,33.8964752,35.5247193,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
صليبا ماركت,supermarket,Beirut,,33.8963728,35.5245138,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
وودستوك,pub,Beirut,,33.8976626,35.5270803,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
دي باك دور,pub,Beirut,,33.8960897,35.5245852,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Shant and gaby sarkissan,hairdresser,Beirut,,33.8959869,35.5240322,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Internazionale,pub,Beirut,Alexander Fleming,33.8969682,35.5251885,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Rustique,pub,Beirut,,33.8964359,35.5242352,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
elissio,clothes,Mount Lebanon,,33.8155785,35.5357385,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
دوكولاند,stationery,Beirut,"شارع أرمينيا, الجعيتاوي",33.8956944,35.5207144,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
ليبان بوست,post_office,Beirut,بيروت,33.8951667,35.5159728,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Moenito,fast_food,Beirut,,33.8954387,35.520246,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Au blé d'or,bakery,Beirut,,33.8960515,35.5233739,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
صيداية ايديل,pharmacy,Beirut,,33.8952287,35.5196114,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
كساب,bakery,Beirut,,33.895282,35.519798,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
ركت,fast_food,Beirut,"شارع أرمينيا, الجعيتاوي",33.895751,35.5209788,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
IBL Bank,atm,Beirut,,33.8959043,35.5220057,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Ginette,restaurant,Beirut,,33.8948224,35.5164428,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Pharmacie Vitale,pharmacy,Beirut,,33.8949241,35.5149292,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Drink and sing,bar,Beirut,,33.891028,35.507487,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
كلية العلوم جامعة القديس يوسف,university,Mount Lebanon,,33.8649159,35.5644065,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
فلافل صهيون,fast_food,Beirut,"طريق الشام, Beyrouth",33.8904075,35.5066454,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
هوا تشكن,fast_food,Beirut,شارع يوسف السمعاني,33.892485,35.510392,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
تذكار,pub,Beirut,,33.895612,35.521432,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Croissant Margo,bakery,Beirut,Beyrouth,33.8896704,35.5062117,,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
بق سيل,clothes,Mount Lebanon,,33.8790233,35.5504047,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
Pharmacie Marc Joseph,pharmacy,Beirut,,33.890922,35.506779,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
falafel abou dany,fast_food,Mount Lebanon,,33.8447418,35.5321868,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
st elie,bakery,Mount Lebanon,,33.8779285,35.5540016,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
delivery cafe,cafe,Mount Lebanon,,33.8771477,35.5579982,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
hileneh,library,Mount Lebanon,,33.8777169,35.554763,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
زاهي,library,Mount Lebanon,,33.8768642,35.5526089,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
ميروديك,glaziery,Mount Lebanon,,33.8767209,35.5531557,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
قيصر عطا,company,Mount Lebanon,,33.8729325,35.5458645,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
كاشوح ألومنيوم,industry,Mount Lebanon,,33.868863,35.5460121,,,,,,,,,0,osm,2026-05-04T05:55:01.794291Z
